product;quantity;total_price;order_date
Noise Cancelling Headphones;4;460;2025-01-13
Bluetooth Speaker;10;4680;2025-02-02
Wireless Earbuds;3;2067;2025-01-26
Power Bank;2;1056;2025-01-15
Smartwatch;10;4620;2025-01-20
Power Bank;5;1660;2025-02-27
Power Bank;6;786;2025-01-01
Laptop Stand;8;2704;2025-02-20
Bluetooth Speaker;10;4120;2025-03-15
Bluetooth Speaker;9;8622;2025-01-20
Bluetooth Speaker;10;2060;2025-01-30
Smartphone;3;2070;2025-01-20
Noise Cancelling Headphones;10;3730;2025-01-09
Smartwatch;5;790;2025-02-06
Noise Cancelling Headphones;10;3850;2025-01-12
Noise Cancelling Headphones;10;3900;2025-03-20
Smartwatch;8;5696;2025-01-22
VR Headset;3;867;2025-01-10
Gaming Mouse;10;4470;2025-02-09
Smartphone;1;318;2025-02-06
VR Headset;10;960;2025-01-07
Bluetooth Speaker;9;702;2025-02-08
Wireless Earbuds;6;5874;2025-02-01
Smartphone;2;546;2025-03-16
Noise Cancelling Headphones;6;3726;2025-01-29
Power Bank;6;2718;2025-03-07
Laptop Stand;10;5950;2025-03-02
Wireless Earbuds;4;848;2025-02-10
Portable Projector;9;6813;2025-02-18
Portable Projector;3;2754;2025-02-10
Gaming Mouse;8;3392;2025-02-15
Gaming Mouse;7;1463;2025-01-25
Smartwatch;7;448;2025-03-11
Bluetooth Speaker;6;1560;2025-01-17
Portable Projector;5;960;2025-01-09
Bluetooth Speaker;7;686;2025-01-16
VR Headset;4;1076;2025-02-13
Wireless Earbuds;10;3270;2025-03-07
Bluetooth Speaker;4;2316;2025-02-05
Portable Projector;5;1975;2025-01-14
Bluetooth Speaker;3;1542;2025-02-15
VR Headset;6;4410;2025-01-11
Noise Cancelling Headphones;4;3892;2025-01-13
Smartwatch;4;2676;2025-01-06
Laptop Stand;4;1432;2025-03-06
VR Headset;4;300;2025-03-02
Action Camera;7;917;2025-02-01
Noise Cancelling Headphones;7;1862;2025-02-10
Portable Projector;6;4200;2025-03-12
Wireless Earbuds;8;1800;2025-01-14
Wireless Earbuds;6;5964;2025-02-11
Gaming Mouse;3;612;2025-01-25
VR Headset;9;4311;2025-02-12
Power Bank;9;5355;2025-02-18
Smartwatch;3;1869;2025-01-30
Noise Cancelling Headphones;10;8710;2025-01-22
Noise Cancelling Headphones;1;53;2025-03-19
Gaming Mouse;5;3880;2025-03-05
Wireless Earbuds;8;2728;2025-01-27
Action Camera;4;2400;2025-01-01
Smartphone;4;2692;2025-03-04
Portable Projector;4;2372;2025-02-11
Portable Projector;7;2030;2025-03-10
Laptop Stand;2;1844;2025-02-03
Smartphone;8;4864;2025-01-03
Wireless Earbuds;1;165;2025-02-07
Laptop Stand;9;8523;2025-01-14
Bluetooth Speaker;9;3159;2025-03-06
Wireless Earbuds;5;840;2025-03-12
Power Bank;8;5816;2025-02-01
Power Bank;8;5824;2025-01-09
Bluetooth Speaker;4;864;2025-02-25
Portable Projector;10;2740;2025-02-04
VR Headset;3;1779;2025-02-14
Laptop Stand;2;1380;2025-01-16
Bluetooth Speaker;4;3740;2025-01-12
Power Bank;4;1280;2025-02-13
Wireless Earbuds;6;792;2025-02-12
Smartphone;1;307;2025-01-02
